objectid,name,address,address2,municipal,state,zipcode,latitude,longitude,prim_type
386,Convenience Plus,789 Harrison Ave, ,Boston,MA,2118,42.340851,-71.070838,Convenience
387,Convenience Plus,720 Massachusetts Ave, ,Cambridge,MA,2139,42.365923,-71.104689,Convenience
388,Convenience Plus,1480 Broadway Rd # 1, ,Dracut,MA,1826,42.701609,-71.250743,Convenience
389,Convenience Plus,99 School St, ,Watertown,MA,2472,42.365767,-71.165831,Convenience
390,Convenience Plus,259 Elm St, ,Westfield,MA,1085,42.127465,-72.752208,Convenience
391,Convenience Plus One,65 James St # 4b, ,Worcester,MA,1603,42.232603,-71.849127,Convenience
392,Convenience Plus-Atm,437 Main St, ,Fitchburg,MA,1420,42.582875,-71.79849,Convenience
393,Convenience Store,220 Broadway, ,Chelsea,MA,2150,42.390343,-71.038519,Convenience
394,Convenience Store,54 Washington Ave, ,Chelsea,MA,2150,42.394905,-71.033281,Convenience
395,Convenience Store,1147 Broadway, ,Somerville,MA,2144,42.403346,-71.126826,Convenience
396,Convenient Food Mart,1237 Washington St, ,Norwood,MA,2062,42.1753,-71.208153,Convenience
397,Convenient Food Mart,745 High St, ,Westwood,MA,2090,42.223445,-71.223418,Convenience
398,Convenient Plus,61 Locust St, ,Springfield,MA,1108,42.090758,-72.577561,Convenience
399,Convenient Store,121 Summer St, ,Adams,MA,1220,42.624996,-73.113076,Convenience
400,Cookies Bodega,830 Chicopee St, ,Chicopee,MA,1013,42.188524,-72.605733,Convenience
401,Coolidge Variety & Deli,4 Bigelow Ave, ,Watertown,MA,2472,42.371149,-71.157705,Convenience
402,Copacabana Import & Export,376 Main St, ,Medford,MA,2155,42.405332,-71.107811,Convenience
403,Corky's Convenience Corp,39 Galen St, ,Watertown,MA,2472,42.3637,-71.186101,Convenience
404,Corner Convenience,1132 Cambridge St, ,Cambridge,MA,2139,42.37296,-71.096209,Convenience
405,Corner Convenience,66 Jewett St, ,Lowell,MA,1850,42.65322,-71.30528,Convenience
406,Corner Cupboard,149 Gorham St, ,Chelmsford,MA,1824,42.601965,-71.298535,Convenience
407,Corner Market,110 River St, ,North Adams,MA,1247,42.702708,-73.111598,Convenience
408,Corner Mini Mart,3 Border St, ,West Newton,MA,2465,42.349274,-71.229563,Convenience
409,Corner Pantry,723 Main St, ,West Springfield,MA,1089,42.100597,-72.606186,Convenience
410,Corner Shop Corp,70 Market Sq, ,Lynn,MA,1905,42.462454,-70.965539,Convenience
411,Corner Stop,19 Sturbridge Rd, ,Brimfield,MA,1010,42.120568,-72.197266,Convenience
412,Corner Store,270 Hanover St, ,Boston,MA,2113,42.363817,-71.054684,Convenience
413,Corner Store,233 Sandwich St, ,Plymouth,MA,2360,41.947985,-70.647428,Convenience
414,Corner Store Dorchester,166 Norfolk St, ,Dorchester Ctr,MA,2124,42.286902,-71.078976,Convenience
415,Corporate Convenience Store,325 W Cummings Park, ,Woburn,MA,1801,42.509294,-71.146712,Convenience
416,Country Crossroads Convenience,43 Federal St, ,Belchertown,MA,1007,42.291264,-72.409183,Convenience
417,Country Crossroads Convenience,48 Federal St, ,Belchertown,MA,1007,42.275245,-72.404967,Convenience
418,Country Crossroads Convenience,109 Parker Ln, ,Ludlow,MA,1056,42.171182,-72.43103,Convenience
419,Country Farm,57 Main St, ,Charlton,MA,1507,42.132777,-71.968973,Convenience
